player_name,total_distance,multiplier,Team
Cheslor Cuthbert,68983,543.173228346457,Kansas City
Dawel Lugo,68921,542.685039370079,Detroit
Domingo Santana,68872,542.299212598425,Seattle
Robinson Cano,68695,540.905511811024,New York
Aaron Judge,68448,538.96062992126,New York
Melky Cabrera,68064,535.937007874016,Pittsburgh
Wil Myers,67975,535.236220472441,San Diego
Yan Gomes,67714,533.181102362205,Washington
Delino DeShields,67208,529.196850393701,Texas
Carson Kelly,66937,527.062992125984,Arizona
Alex Verdugo,66637,524.700787401575,
Luis Rengifo,66446,523.196850393701,Los Angeles
Brandon Drury,65855,518.543307086614,Toronto
Rowdy Tellez,65384,514.834645669291,Toronto
Elias Diaz,65066,512.330708661417,Pittsburgh
Lourdes Gurriel Jr.,64765,509.96062992126,Toronto
Jose Osuna,64649,509.047244094488,Pittsburgh
Roberto Perez,64043,504.275590551181,Cleveland
Robinson Chirinos,63952,503.55905511811,Houston
Jay Bruce,63930,503.385826771654,Philadelphia
Jake Bauers,63424,499.40157480315,Cleveland
John Hicks,63348,498.803149606299,Detroit
Teoscar Hernandez,63150,497.244094488189,Toronto
Matt Adams,62344,490.897637795276,Washington
Pablo Sandoval,62327,490.763779527559,
Keston Hiura,62233,490.023622047244,Milwaukee
Manuel Margot,62200,489.763779527559,San Diego
Kurt Suzuki,62171,489.535433070866,Washington
Austin Hedges,61838,486.913385826772,San Diego
Jarrod Dyson,61725,486.023622047244,Arizona
Ryan O'Hearn,61607,485.094488188976,Kansas City
Pedro Severino,60930,479.763779527559,Baltimore
Stevie Wilkerson,60923,479.708661417323,Baltimore
Jeimer Candelario,60277,474.622047244095,Detroit
Mitch Garver,60265,474.527559055118,Minnesota
Mike Tauchman,60041,472.763779527559,
Neil Walker,59325,467.125984251969,Miami
Michael Chavis,59294,466.88188976378,
Rio Ruiz,58950,464.173228346457,Baltimore
JaCoby Jones,58702,462.220472440945,
Jose Martinez,58489,460.543307086614,St. Louis
Josh Phegley,58294,459.007874015748,Oakland
Tom Murphy,58261,458.748031496063,Seattle
Austin Riley,57677,454.149606299213,Atlanta
Albert Almora Jr.,57601,453.551181102362,
Tucker Barnhart,57550,453.149606299213,Cincinnati
Dee Gordon,57418,452.110236220472,Seattle
Hunter Pence,57351,451.582677165354,
Mitch Moreland,57307,451.236220472441,Boston
Jesus Aguilar,57299,451.173228346457,Tampa Bay
Brian McCann,56725,446.653543307087,Atlanta
Willson Contreras,56585,445.551181102362,Chicago
Jesse Winker,56443,444.433070866142,
Ronald Guzman,56331,443.551181102362,Texas
Maikel Franco,56249,442.905511811024,Philadelphia
Austin Nola,56061,441.425196850394,Seattle
Brock Holt,55729,438.811023622047,Boston
Matt Beaty,55652,438.204724409449,Los Angeles
Bo Bichette,55289,435.346456692913,Toronto
Ben Gamel,55197,434.622047244095,Milwaukee
Stephen Piscotty,54637,430.212598425197,Oakland
Chad Pinder,54628,430.141732283465,Oakland
Josh Naylor,54529,429.362204724409,San Diego
David Peralta,54409,428.417322834646,
Adalberto Mondesi,54000,425.196850393701,Kansas City
Phillip Ervin,53176,418.708661417323,
Donovan Solano,53046,417.685039370079,San Francisco
Greg Garcia,52951,416.937007874016,San Diego
